mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
0,34.38,32.0,0.0,18.05,0,0,1,1,1,0,3,1,0,0,0,1,3,0,1,0,1,2,2,0,1,1
0,183.14,23.0,1.0,182.97,0,0,0,1,0,1,0,1,2,2,1,0,1,1,0,0,0,2,2,1,2,1
0,54.26,29.0,0.0,29.57,0,0,0,1,4,1,0,2,0,3,1,0,3,0,0,0,3,0,0,0,1,4
1,1409.71,44.0,0.0,142.15,1,2,0,1,0,0,0,3,1,4,1,2,1,0,1,1,1,3,0,1,0,5
0,120.16,30.0,0.0,132.11,0,1,1,0,1,3,1,3,1,4,1,1,1,2,1,1,2,3,0,0,2,5
0,122.46,28.0,0.0,85.8,0,1,2,1,1,0,0,1,2,0,0,1,1,1,2,2,1,2,1,1,0,2
0,90.13,46.0,0.0,45.39,0,0,0,1,1,2,1,2,1,2,1,1,3,1,0,3,0,3,4,3,0,0
1,1745.7,35.0,0.0,70.94,0,1,2,2,2,0,0,2,3,5,0,0,1,1,2,1,2,1,0,0,1,2
1,1606.63,26.0,0.0,171.65,0,1,1,0,1,2,0,1,3,6,0,1,0,0,0,2,1,4,0,2,1,5
0,159.79,33.0,0.0,220.04,0,0,1,1,1,0,2,2,1,3,2,0,1,0,3,6,1,1,0,0,1,3
1,1541.8,33.0,0.0,74.4,0,2,1,0,0,2,0,2,1,3,0,1,0,2,0,0,2,3,1,1,2,4
0,4.58,20.0,0.0,163.47,1,1,0,0,1,1,5,3,1,3,0,3,3,1,1,2,0,3,0,0,1,2
0,60.95,43.0,0.0,68.63,0,0,1,1,1,0,1,6,1,5,2,1,1,2,1,4,1,2,2,1,0,2
0,118.95,51.0,1.0,71.1,0,1,3,1,0,1,0,2,0,4,1,1,1,1,0,2,1,1,2,1,2,1
1,1391.68,34.0,1.0,60.13,0,0,0,3,0,2,0,4,0,4,3,1,0,0,0,0,2,3,0,1,1,1
0,205.57,54.0,0.0,266.89,0,1,1,3,4,2,0,3,1,1,0,2,0,1,1,0,1,2,0,0,3,2
1,1197.5,34.0,1.0,79.25,0,1,0,2,1,0,1,3,1,4,1,5,1,1,0,0,0,4,0,2,0,0
1,1553.98,37.0,0.0,10.21,0,2,1,2,0,0,0,0,2,5,2,2,1,2,2,0,3,1,2,1,2,0
1,1462.52,27.0,0.0,22.67,0,2,1,1,1,1,1,1,2,8,0,0,1,2,0,2,1,0,0,1,1,2
0,96.61,22.0,0.0,182.88,0,0,1,3,0,2,1,2,1,4,0,3,1,2,1,6,0,0,3,2,2,2
1,1328.27,64.0,1.0,38.35,0,2,0,1,0,0,1,2,0,3,0,1,1,2,1,3,3,4,0,0,4,1
1,1496.55,34.0,0.0,39.28,0,1,1,0,2,0,0,3,1,5,0,1,3,1,1,4,1,2,0,1,2,2
0,70.28,40.0,0.0,74.32,0,1,0,2,0,1,0,2,1,3,0,0,1,2,0,2,1,5,5,0,0,0
1,1979.38,30.0,0.0,118.09,0,3,1,0,3,2,0,4,1,3,0,1,3,0,2,3,2,2,0,1,1,6
0,64.93,32.0,1.0,3.68,0,0,2,0,0,0,1,2,2,3,1,1,0,2,1,1,2,2,2,0,2,1
1,1424.21,21.0,0.0,250.57,0,2,2,0,0,1,0,4,2,3,0,2,1,0,1,3,2,2,0,1,1,0
0,573.97,74.0,0.0,243.43,0,1,1,3,2,1,0,1,1,1,0,2,4,1,2,3,2,2,1,0,3,2
0,10.9,24.0,1.0,64.05,0,0,1,0,1,1,0,1,1,2,1,1,1,1,1,5,1,4,2,1,1,1
1,982.37,54.0,0.0,213.18,0,0,0,2,0,0,1,2,2,1,0,0,2,1,0,1,1,0,2,3,1,1
1,972.09,35.0,1.0,68.36,0,0,0,0,1,2,1,1,2,5,1,0,1,1,1,2,0,0,1,0,0,1
1,1071.12,29.0,1.0,89.26,0,1,0,0,0,3,2,2,1,2,2,3,2,1,1,2,1,3,0,1,0,1
1,1603.39,33.0,0.0,75.99,0,2,3,3,1,0,0,3,1,5,1,3,2,1,1,1,0,2,1,2,0,2
0,28.17,25.0,1.0,42.73,0,1,0,2,1,2,0,1,0,5,1,0,1,0,0,3,1,0,0,1,1,3
0,4.58,38.0,0.0,168.1,0,3,1,0,1,0,1,5,4,3,0,2,5,0,1,4,1,1,1,1,1,0
1,1265.36,53.0,1.0,42.46,0,0,1,0,1,1,4,0,4,0,0,1,4,2,3,1,0,0,1,0,1,2
0,48.64,66.0,0.0,124.73,0,0,0,3,4,2,2,3,0,2,1,2,2,2,3,0,3,4,0,2,1,2
1,1646.25,38.0,2.0,4.6,0,0,3,1,3,0,0,2,1,1,1,1,0,1,1,2,2,0,2,1,1,2
1,1124.2,30.0,0.0,43.7,0,3,0,1,0,2,1,3,3,5,0,0,0,0,1,3,0,0,1,2,2,0
1,949.65,41.0,1.0,0.75,0,2,1,1,1,0,1,2,2,2,1,0,2,0,0,3,0,0,0,2,0,2
0,3.08,29.0,0.0,79.36,1,0,0,3,0,0,2,1,1,1,0,3,4,0,0,3,2,1,0,3,1,1
1,2103.44,61.0,0.0,108.18,0,1,1,0,2,0,2,3,2,3,2,0,4,2,4,4,2,2,2,3,0,5
